id,status,path,bytes,sha256,final_url,error
EP04B_CHAKRA_004,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\01_ORIGINAL_GREEN\LEADBEATER_PLATES\EP04B_Leadbeater_Heart_1927_PD.jpg,99058,152982c366125c06a0396579e45fb1c3206e821b11b6e0f9a9d10530268eb93f,https://upload.wikimedia.org/wikipedia/commons/7/79/Chakraheart.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP04B_CHAKRA_005,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\01_ORIGINAL_GREEN\LEADBEATER_PLATES\EP04B_Leadbeater_Throat_1927_PD.jpg,51644,d029eb6172eb70659a74e510fe4d91fcdd7147e026b23654ba69940b8e47e0b6,https://upload.wikimedia.org/wikipedia/commons/5/50/Chakrathroat.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP04B_CHAKRA_006,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\01_ORIGINAL_GREEN\LEADBEATER_PLATES\EP04B_Leadbeater_Crown_1927_PD.jpg,133887,cfa6d83250d5927dd89e3fb17f698fb49af5052ad99c9b034aa66ea031e07d80,https://upload.wikimedia.org/wikipedia/commons/e/eb/Chakracrown.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP04B_CHAKRA_007,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\01_ORIGINAL_GREEN\HISTORICAL_CHAKRA\EP04B_Sapta_Chakra_1899_PD.jpg,2140641,82e125c64bd4b54cc7eb7f1cb6b087a36b7871189af8e9df317d487106390b34,https://upload.wikimedia.org/wikipedia/commons/f/fb/Sapta_Chakra%2C_1899.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP04B_CHAKRA_008,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\01_ORIGINAL_GREEN\HISTORICAL_CHAKRA\EP04B_Yogin_six_chakras_late18c_PD.jpg,36809,d60cff76ee6278517afa3d044d5d7f07474183b0b95b73045268255d8f5fc005,https://upload.wikimedia.org/wikipedia/commons/a/ae/Yogin_with_six_chakras%2C_India%2C_Punjab_Hills%2C_Kangra%2C_late_18th_century.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP04B_REF_001,REFERENCE_ONLY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\03_REFERENCE_ONLY\HISTORICAL_CHAKRA\EP04B_REFERENCE_Crown_Brow_Throat_metadata_conflict.url.txt,,,,
EP04B_REF_002,REFERENCE_ONLY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\03_REFERENCE_ONLY\PORTRAITS\EP04B_REFERENCE_Woodroffe_NPG_1928.url.txt,,,,
EP04B_REF_003,REFERENCE_ONLY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\03_REFERENCE_ONLY\PORTRAITS_RESEARCH\EP04B_REFERENCE_Atal_Bihari_Ghose_research.url.txt,,,,
EP04A_REF_001,REFERENCE_ONLY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04A\03_REFERENCE_ONLY\RED_BOOK\EP04A_REFERENCE_Red_Book_LOC.url.txt,,,,
EP04A_RECON_001,REFERENCE_ONLY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04A\04_RECONSTRUCTION_REQUIRED\EP04A_RECON_001_A-R02.url.txt,,,,
EP04A_RECON_002,REFERENCE_ONLY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04A\04_RECONSTRUCTION_REQUIRED\EP04A_RECON_002_A-R03.url.txt,,,,
EP04A_RECON_003,REFERENCE_ONLY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04A\04_RECONSTRUCTION_REQUIRED\EP04A_RECON_003_A-R04.url.txt,,,,
EP04A_RECON_004,REFERENCE_ONLY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04A\04_RECONSTRUCTION_REQUIRED\EP04A_RECON_004_A-R05.url.txt,,,,
EP04A_RECON_005,REFERENCE_ONLY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04A\04_RECONSTRUCTION_REQUIRED\EP04A_RECON_005_A-R01.url.txt,,,,
EP04B_RECON_001,REFERENCE_ONLY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\04_RECONSTRUCTION_REQUIRED\EP04B_RECON_001_B-R06.url.txt,,,,
EP04B_RECON_002,REFERENCE_ONLY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\04_RECONSTRUCTION_REQUIRED\EP04B_RECON_002_B-R04.url.txt,,,,
EP04B_RECON_003,REFERENCE_ONLY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\04_RECONSTRUCTION_REQUIRED\EP04B_RECON_003_B-R01.url.txt,,,,
